logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
8.046122,26.869506,29.8430147551,0.0002979952,0.0825009444,1.0900214233,Male/Female,g3080
-569.828766,586.443741,-29.7763702765,0.0002996591,0.0825009444,1.0876339263,Male/Female,g14908
30.618961,50.6853045,29.5199779963,0.000306183,0.0825009444,1.0783293257,Male/Female,g12097
14.697548,52.8353255,29.4883495699,0.0003070015,0.0825009444,1.077168212,Male/Female,g359
-7.505859,17.482461,-29.441662647,0.0003082153,0.0825009444,1.0754488845,Male/Female,g15555
6.5892125,21.39541725,29.4198856762,0.0003087838,0.0825009444,1.0746447,Male/Female,g7517
64.3046115,116.51609025,29.2886021937,0.0003122423,0.0825009444,1.069766655,Male/Female,g10354
29.1937415,40.57357025,28.8657970359,0.0003237561,0.0845598931,1.0537001702,Male/Female,g2767
4.1933235,7.96756475,28.2275057015,0.0003422939,0.0855516047,1.0283714489,Male/Female,g14390
-73.096843,36.8004475,-27.7322194758,0.0003577178,0.0855516047,1.0077780904,Male/Female,g10956
54.1038975,100.23283375,27.6683295481,0.0003597778,0.0855516047,1.0050593229,Male/Female,g10621
-19.63225,14.263681,-27.4997262357,0.0003652947,0.0855516047,0.9978144624,Male/Female,g20410
-10.4719235,19.67287075,-27.4632257217,0.0003665046,0.0855516047,0.99623252,Male/Female,g6667
24.185965,29.5584115,27.4392657669,0.0003673018,0.0855516047,0.9951914514,Male/Female,g15661
63.7424815,98.92262825,27.3797857868,0.0003692915,0.0855516047,0.992597951,Male/Female,g11997
17.2871,71.046075,27.3463361413,0.0003704171,0.0855516047,0.9911337422,Male/Female,g14360
5.1781515,27.57797975,27.2453231539,0.0003738455,0.0855516047,0.9866869395,Male/Female,g12818
-4.878094,4.351583,-27.1533194196,0.0003770068,0.0855516047,0.9826036513,Male/Female,g2930
300.999882,159.452955,27.1154796926,0.0003783179,0.0855516047,0.9809150265,Male/Female,g2013
-26.6462345,14.07871325,-27.1136338595,0.0003783821,0.0855516047,0.9808325166,Male/Female,g20143
-7.8578075,52.31757375,-27.1031387965,0.0003787469,0.0855516047,0.9803631358,Male/Female,g14729
-244.6341725,122.36097625,-27.0596844117,0.0003802628,0.0855516047,0.978415242,Male/Female,g18950
-8.859493,9.334354,-26.758352298,0.0003910122,0.0871046753,0.9647083143,Male/Female,g9148
-117.7046915,67.75230325,-26.6540353968,0.0003948326,0.0871046753,0.9598806587,Male/Female,g5392
-58.8858415,70.05950175,-26.0093432403,0.0004196433,0.0916025486,0.9290672678,Male/Female,g5336
37.91806,66.4851685,25.7696352517,0.0004294256,0.0916025486,0.9171653748,Male/Female,g13984
-361.339134,420.9062995,-25.5119163737,0.0004403027,0.0916025486,0.9040887992,Male/Female,g5345
93.5522765,149.44179525,25.2812287937,0.0004503688,0.0916025486,0.8921306793,Male/Female,g4278
-11.439034,17.237414,-25.1246238152,0.0004573866,0.0916025486,0.8838732524,Male/Female,g12441
10.6658305,42.75265975,24.9691752904,0.0004645049,0.0916025486,0.875562964,Male/Female,g11293
